2018-03-21 20:35:26 status half-installed libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libgssapi3-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 install libldap-2.4-2:amd64 <none> 2.4.42+dfsg-2ubuntu3.2
2018-03-21 20:35:26 status half-installed libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-03-21 20:35:26 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-03-21 20:35:26 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3.2
2018-03-21 20:35:26 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d-1ubuntu0.1
2018-03-21 20:35:26 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d-1ubuntu0.1
2018-03-21 20:35:26 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d-1ubuntu0.1
2018-03-21 20:35:26 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d-1ubuntu0.1
2018-03-21 20:35:26 install libcurl3-gnutls:amd64 <none> 7.47.0-1ubuntu2.7
2018-03-21 20:35:26 status half-installed libcurl3-gnutls:amd64 7.47.0-1ubuntu2.7
2018-03-21 20:35:26 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.7
2018-03-21 20:35:26 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.7
2018-03-21 20:35:26 install libsasl2-modules:amd64 <none> 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status half-installed libsasl2-modules:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-14build1
2018-03-21 20:35:26 install rsync:amd64 <none> 3.1.1-3ubuntu1.2
2018-03-21 20:35:26 status half-installed rsync:amd64 3.1.1-3ubuntu1.2
2018-03-21 20:35:26 status unpacked rsync:amd64 3.1.1-3ubuntu1.2
2018-03-21 20:35:26 status unpacked rsync:amd64 3.1.1-3ubuntu1.2
2018-03-21 20:35:26 install m4:amd64 <none> 1.4.17-5
2018-03-21 20:35:26 status half-installed m4:amd64 1.4.17-5
2018-03-21 20:35:26 status unpacked m4:amd64 1.4.17-5
2018-03-21 20:35:26 status unpacked m4:amd64 1.4.17-5
2018-03-21 20:35:26 install autoconf:all <none> 2.69-9
2018-03-21 20:35:26 status half-installed autoconf:all 2.69-9
2018-03-21 20:35:26 status unpacked autoconf:all 2.69-9
2018-03-21 20:35:26 status unpacked autoconf:all 2.69-9
2018-03-21 20:35:27 install autotools-dev:all <none> 20150820.1
2018-03-21 20:35:27 status half-installed autotools-dev:all 20150820.1
2018-03-21 20:35:27 status unpacked autotools-dev:all 20150820.1
2018-03-21 20:35:27 status unpacked autotools-dev:all 20150820.1
2018-03-21 20:35:27 install automake:all <none> 1:1.15-4ubuntu1
2018-03-21 20:35:27 status half-installed automake:all 1:1.15-4ubuntu1
2018-03-21 20:35:27 status unpacked automake:all 1:1.15-4ubuntu1
2018-03-21 20:35:27 status unpacked automake:all 1:1.15-4ubuntu1
2018-03-21 20:35:27 install liberror-perl:all <none> 0.17-1.2
2018-03-21 20:35:27 status half-installed liberror-perl:all 0.17-1.2
2018-03-21 20:35:27 status unpacked liberror-perl:all 0.17-1.2
2018-03-21 20:35:27 status unpacked liberror-perl:all 0.17-1.2
2018-03-21 20:35:27 install git-man:all <none> 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status half-installed git-man:all 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status unpacked git-man:all 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status unpacked git-man:all 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 install git:amd64 <none> 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status half-installed git:amd64 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status unpacked git:amd64 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 status unpacked git:amd64 1:2.7.4-0ubuntu1.3
2018-03-21 20:35:27 trigproc systemd:amd64 229-4ubuntu21.1 <none>
2018-03-21 20:35:27 status half-configured systemd:amd64 229-4ubuntu21.1
2018-03-21 20:35:27 status installed systemd:amd64 229-4ubuntu21.1
2018-03-21 20:35:27 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-03-21 20:35:27 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:27 status installed libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:27 startup packages configure
2018-03-21 20:35:27 configure liblocale-gettext-perl:amd64 1.07-1build1 <none>
2018-03-21 20:35:27 status unpacked liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:27 status half-configured liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:27 status installed liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:27 configure libpopt0:amd64 1.16-10 <none>
2018-03-21 20:35:27 status unpacked libpopt0:amd64 1.16-10
2018-03-21 20:35:27 status half-configured libpopt0:amd64 1.16-10
2018-03-21 20:35:27 status installed libpopt0:amd64 1.16-10
2018-03-21 20:35:27 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:27 configure udev:amd64 229-4ubuntu21.2 <none>
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status triggers-pending systemd:amd64 229-4ubuntu21.1
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:27 status half-configured udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:28 status installed udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:28 configure locales:all 2.23-0ubuntu10 <none>
2018-03-21 20:35:28 status unpacked locales:all 2.23-0ubuntu10
2018-03-21 20:35:28 status unpacked locales:all 2.23-0ubuntu10
2018-03-21 20:35:28 status half-configured locales:all 2.23-0ubuntu10
